xs ys xt yt xl yl xa ya
0.000000 0.000000 0.879865 0.479747 0.882477 0.478146 27.646082 0.095944
0.000000 0.000000 0.876868 0.485305 0.879572 0.483876 27.983374 0.095943
0.000000 0.000000 0.873836 0.490844 0.876622 0.489593 28.320665 0.095942
0.000000 0.000000 0.870770 0.496364 0.873626 0.495297 28.657957 0.095941
0.000000 0.000000 0.867670 0.501865 0.870584 0.500986 28.995249 0.095941
0.000000 0.000000 0.864536 0.507346 0.867496 0.506659 29.332541 0.095940
0.000000 0.000000 0.861369 0.512807 0.864361 0.512315 29.669832 0.095939
0.000000 0.000000 0.858168 0.518248 0.861181 0.517954 30.007124 0.095939
0.000000 0.000000 0.854933 0.523668 0.857954 0.523575 30.344416 0.095938
0.000000 0.000000 0.851666 0.529068 0.854680 0.529175 30.681707 0.095937
0.000000 0.000000 0.848365 0.534448 0.851361 0.534755 31.018999 0.095936
0.000000 0.000000 0.845031 0.539807 0.847996 0.540313 31.356291 0.095936
0.000000 0.000000 0.841664 0.545145 0.844584 0.545847 31.693583 0.095935
0.000000 0.000000 0.838264 0.550461 0.841128 0.551358 32.030876 0.095934
0.000001 0.000000 0.834832 0.555756 0.837626 0.556844 32.368168 0.095934
0.000001 0.000000 0.831367 0.561029 0.834079 0.562303 32.705460 0.095933
0.000001 0.000000 0.827870 0.566281 0.830488 0.567736 33.042751 0.095932
0.000001 0.000000 0.824340 0.571511 0.826853 0.573140 33.380043 0.095931
0.000001 0.000000 0.820779 0.576718 0.823175 0.578515 33.717335 0.095931
0.000001 0.000000 0.817186 0.581903 0.819454 0.583859 34.054626 0.095930
0.000001 0.000000 0.813560 0.587065 0.815692 0.589173 34.391918 0.095929
0.000001 0.000000 0.809904 0.592205 0.811888 0.594455 34.729210 0.095929
0.000001 0.000000 0.806215 0.597322 0.808044 0.599703 35.066502 0.095928
0.000001 0.000000 0.802495 0.602415 0.804161 0.604919 35.403793 0.095927
0.000001 0.000000 0.798744 0.607485 0.800239 0.610100 35.741085 0.095926
0.000001 0.000000 0.794962 0.612532 0.796280 0.615247 36.078377 0.095926
0.000001 0.000000 0.791149 0.617555 0.792284 0.620358 36.415668 0.095925
0.000001 0.000000 0.787305 0.622554 0.788253 0.625433 36.752960 0.095924
0.000001 0.000000 0.783431 0.627529 0.784186 0.630472 37.090252 0.095924
0.000001 0.000000 0.779525 0.632479 0.780086 0.635473 37.427544 0.095923
0.000001 0.000000 0.775590 0.637406 0.775954 0.640438 37.764835 0.095922
0.000001 0.000000 0.771624 0.642307 0.771789 0.645366 38.102127 0.095921
0.000001 0.000000 0.767628 0.647184 0.767594 0.650256 38.439419 0.095921
0.000001 0.000000 0.763603 0.652036 0.763369 0.655108 38.776711 0.095920
0.000001 0.000000 0.759547 0.656862 0.759115 0.659923 39.114002 0.095919
